,Building,Level,Tier,Plots,Land type,Minimum island size,Type,"Resource required to build (per level, if aplicable)",Storage per level,Construction dificulty,"Rules, bonuses and advantages",Resources / RUM needed to run production,Produces,Other building requred,Key Tool
,Camp,1-5,1,0,none,XS,Governor Headquarter,"wood (5), cotton (25)",100,1,"Unlocks 1 residential zone, unlocks Trading Post level 1",,,none,
,Pirate Camp,6-10,2,0,Genesis only,XS Genesis only,Governor Headquarter,"wood (20), planks (100), cotton (50)",200,2,"Unlocks Trading Post level 2. Young Pirates reproduction, Act of Love - mating time boosting bonus, Genesis Pirate mating time boosting bonus","food medium, RUM",,Camp level 5,
,Homestead,6-10,2,0,none,S,Governor Headquarter,"wood (20), planks (100), cotton (50)",200,2,"Unlocks 2 buildings from residential zone type, unlocks Trading Post level 2",,,Camp level 5,
,Residence,11-15,3,1,Land,M,Governor Headquarter,wood (100) planks (500) stone (50),300,3,"Unlocks 3 residential zones, unlocks Trading Post level 3",,,Homestead level 5,
,Manor,16-20,4,2,Land,L,Governor Headquarter,wood (400) planks (2000) stone (200) bricks (1000),400,4,"Unlocks 4 residential zones, unlocks Trading Post level 4",,,0,
,Mansion,21-25,5,3,Land,XL,Governor Headquarter,wood (1000) planks (4000) stone (1000) bricks (5000) gold_bars (100),500,5,"Unlocks 5 residential zones, unlocks Trading Post level 5",,,0,
,,,,,,,,,,,,,,,
,Basic Settlement,1,1,1,Land,XS,Settlement,"wood (20), planks (100), cotton (50)",,2,"Unlocks specialists buildings, produce like basic farm (without buildings)",,,,
,Basic Settlement,2,1,1,Land,XS,Settlement,"wood (20), planks (100), cotton (50)",,,,,,,
,Basic Settlement,3,1,1,Land,XS,Settlement,"wood (20), planks (100), cotton (50)",,,,,,,
,Basic Settlement,4,1,1,Land,XS,Settlement,"wood (20), planks (100), cotton (50)",,,,,,,
,Specialised Settlement,5,1,1,Land,XS,Settlement,"wood (30), planks (150), cotton (75)",,3,"Unlocks specialists buildings, produce like basic farm (without buildings) - output *1,2 on level 5 after chosing spec",,,,
,Village level,1-5,1,2,Land,S,Settlement,wood (100) planks (500) cotton (100) stone (50),,3,"Unlocks specialists buildings, produce like basic farm (without buildings)",,,,
,Artisan's Settlement,1-5,2,2,Land,S,Settlement,wood (100) planks (500) cotton (100) stone (50),,3,Unlocks specialists buildings,,,,
,Fishermen’s Cove,1-5,2,2,Land,S,Settlement,wood (100) planks (500) cotton (100) stone (50),,3,"Unlocks specialists buildings, produce like basic farm (without buildings)",,,,
,Prospector Settlement,1-5,2,2,Land,S,Settlement,wood (100) planks (500) cotton (100) stone (50),,3,Unlocks specialists buildings,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Trading Post,1-5,,0,none,XS,Trade,"wood (5), cotton (25)",,1,"1 trading offer per level, Can be built in governor house, 1 level every tier of governor house.  By default 1 offer can be added without trading post(level 0)",,Resource_trade/1 offer per level,,
,,,,,,,,,,,,,,,
,Vendor's Booth level,1-5,1,1,Land,XS,Trade,"wood (20), planks (100), cotton (50)",,2,1 trading offer per level,,Resource_trade/5 offers,0,
,Market Fair level,1-5,2,2,Land,S,Trade,wood (100) planks (500) stone (50),,3,2 trading offers per level,,Resource_trade/10 offers,0,
,Trade Square level,1-5,3,3,Land,S,Trade,wood (400) planks (2000) stone (200) bricks (1000),,4,4 trading offers per level,,Resource_trade/20 offers,Cottage,
,Market Plaza level,1-5,4,4,Land,S,Trade,wood (1000) planks (4000) stone (1000) bricks (5000) gold_bars (100),,5,8 trading offers per level,,Resource_trade/40 offers,House,
,,,,,,,,,,,,,,,
,Basic farm,,,1,Land,XS,Farm,none,,,run basic production for each NFT character,,,,
,,,,,,,,,,,,,,,
,Cotton Farm,1-5,1,1,Land,S,farm,wood (20) cotton (75) planks (100) stone (20),,,"basic output +0,1 per level up to +0,5 on level 5",,cotton cultivation+harvest+skill+bonus+cotton_island_bonus,0,
